GPS1.UTCGregorian         Receiver.EarthFixedCS.X   Receiver.EarthFixedCS.Y   Receiver.EarthFixedCS.Z   
01 Jan 2026 12:09:00.000   -673.7423291650183        -5487.190928762427        3170.456502405087         
01 Jan 2026 12:10:00.000   -673.7423286777628        -5487.190927942032        3170.456503928509         
01 Jan 2026 12:11:00.000   -673.7423291717903        -5487.190928758462        3170.456502410508         
01 Jan 2026 12:12:00.000   -673.7423286777625        -5487.190927942032        3170.45650392851          
01 Jan 2026 12:13:00.000   -673.7423291785275        -5487.190928754445        3170.456502416033         
01 Jan 2026 12:14:00.000   -673.7423286777617        -5487.190927942029        3170.456503928509         
01 Jan 2026 12:15:00.000   -673.7423291852314        -5487.190928750367        3170.45650242166          
01 Jan 2026 12:16:00.000   -673.7423286777617        -5487.190927942031        3170.456503928509         
01 Jan 2026 12:17:00.000   -673.7423291919004        -5487.190928746239        3170.456502427391         
01 Jan 2026 12:18:00.000   -673.7423286777627        -5487.190927942032        3170.456503928509         
01 Jan 2026 12:19:00.000   -673.7423291985417        -5487.190928742055        3170.456502433225         
01 Jan 2026 12:20:00.000   -673.7423286777617        -5487.190927942032        3170.456503928509         
01 Jan 2026 12:21:00.000   -673.7423292051432        -5487.190928737815        3170.45650243916          
01 Jan 2026 12:22:00.000   -673.7423286777621        -5487.190927942032        3170.456503928509         
01 Jan 2026 12:23:00.000   -673.7423292117129        -5487.190928733516        3170.456502445197         
01 Jan 2026 12:24:00.000   -673.7423286777625        -5487.190927942032        3170.456503928509         
01 Jan 2026 12:25:00.000   -673.7423292182439        -5487.190928729169        3170.456502451337         
01 Jan 2026 12:26:00.000   -673.7423286777619        -5487.19092794203         3170.456503928508         
01 Jan 2026 12:27:00.000   -673.7423292247445        -5487.190928724764        3170.456502457575         
01 Jan 2026 12:28:00.000   -673.7423286777628        -5487.190927942034        3170.45650392851          
01 Jan 2026 12:29:00.000   -673.7423292312028        -5487.190928720309        3170.456502463916         
01 Jan 2026 12:30:00.000   -673.742328677762         -5487.190927942032        3170.456503928509         
01 Jan 2026 12:31:00.000   -673.7423292376294        -5487.1909287158          3170.456502470357         
01 Jan 2026 12:32:00.000   -673.742328677762         -5487.190927942032        3170.45650392851          
01 Jan 2026 12:33:00.000   -673.7423292440207        -5487.190928711234        3170.456502476898         
01 Jan 2026 12:34:00.000   -673.7423286777621        -5487.190927942032        3170.456503928511         
01 Jan 2026 12:35:00.000   -673.7423292503756        -5487.190928706617        3170.456502483538         
01 Jan 2026 12:36:00.000   -673.7423286777624        -5487.190927942032        3170.45650392851          
01 Jan 2026 12:37:00.000   -673.7423292566848        -5487.190928701948        3170.456502490276         
01 Jan 2026 12:38:00.000   -673.7423286777617        -5487.190927942032        3170.45650392851          
01 Jan 2026 12:39:00.000   -673.7423292629624        -5487.190928697227        3170.456502497113         
01 Jan 2026 12:40:00.000   -673.7423286777623        -5487.190927942032        3170.456503928509         
01 Jan 2026 12:41:00.000   -673.7423292692007        -5487.190928692454        3170.456502504047         
01 Jan 2026 12:42:00.000   -673.7423286777625        -5487.190927942031        3170.456503928509         
